lp,Kod towaru,nazwa towaru,Lot,jm,stan początkowy,przychód,rozchód,stan końcowy,stan rzeczywisty,ilość przeterminowanych
99,O-K-P17008-5G,"L-Phenylalanine, 5G, Sigma-Aldrich, P17008",99,szt,0,1,0,1,1,
100,O-K-P0704S,"PNGase F - 15.000 units, 500,000U/ml, NEB BioLabs, P0704S",100,szt,0,1,0,1,0,
101,O-K-OriRev starter,"OriRev Starter, Sigma-Aldrich",101,szt,0,0,0,0,0,
102,O-K-OriFor starter,"OriFor Starter, Sigma-Aldrich",102,szt,0,0,0,0,0,
103,O-K-oligo-2020-2 505,"Oligos AOX_term_3, ProtK_Glyout, ProtK_End_Glyin, AOX_term_2",103,szt,0,0,0,0,0,
104,O-K-NU-1023S,"dNTP Mix - 25mM Solution,",104,szt,0,1,0,1,1,
105, O-K-NN-MSH-DPAR-002                      ,"Chloramin T proszek, 6kg, Schulle, NN-MSH-DPAR-002",105,szt ,0,1,0,1,0,
106,O-K-N6386-5G,"Neomycin trisulfate salt hydrate, 5g, Sigma, N6386",106,szt,0,1,1,0,0,
107,O-K-N2611,"RNasin Plus RNase Inhibitor, 2500U, Promega, N2611",107,szt,1,0,1,0,,
108,O-K-N2515,Recombinant RNasin RNase Inhibitor 10 000U,108,szt,0,0,0,0,,
109,O-K-N2511,Recombinant RNasin RNase Inhibitor 2500U,109,szt,0,0,0,0,,
110,O-K-N2111,"RNasin(R) RNase Inhibitor, 2500U, Promega, N2111",110,szt,1,0,1,0,,
111,O-K-MAN222.25 0,Manganese chloride 250g,111,szt,1,0,1,0,0,
112,O-K-M4125-100 G,"D-Mannitol, 100g, Sigma-Aldrich, M4125-100G",112,szt,0,2,1,1,1,
113,O-K-M3148-500,"2-mercapthoethanol, 500 ml",113,szt,0,0,0,0,0,
114,O-K-M0537L,"Bst 2.0 DNA Polymerase - 8.000U/ml, NEB BioLabs, M0537L",114,szt,0,1,0,1,,
115,O-K-M0323S,"LongAmp Taq DNA Polymerase, 500units, Lab-JOT, M0323S",115,szt,0,0,0,0,0,
116,O-K-M0314S,"RNase inhibitor, Murine, 3000U",116,szt,0,0,0,0,,
117,O-K-M0282S,"APE 1,  10000U/ml, 1000 units, BioLabs, M0282S",117,szt,0,0,0,0,,
118,O-K-M0269S,"Phi29 DNA Polymerase, recombinant, 250U",118,szt,0,0,0,0,,
119,O-K-M0251S,"T7 RNA Polymerase - 5.000 units, 50.000U/ml, NEB BioLabs, M0251S",119,szt,1,1,1,1,1,
120,O-K-M0239S,Ligaza RNA T4 2 (dsRNA ligaza),120,szt,0,0,0,0,,
121,O-K-M0239L,T4 RNA Ligaza 2 (dsRNA Ligaza),121,szt,0,0,0,0,,
122,O-K-LS-3405.01 00,"TCEP * HCl, 100g, Iris Biotech, LS-3405.0100",122,szt,1,0,1,0,0,
123,O-K-LLG-620450 5,"Roztwór buforowy, Duracal pH7.00, 250ml, Witko, LLG-6204505",123,szt,0,1,1,0,0,
124,O-K-Linker2aR,"Linker2aR, starter, 1szt, Sigma-Aldrich, Linker2aR",124,szt,0,0,0,0,,
125,O-K-Linker2aF,"Linker2aF, starter, 1szt, Sigma-Aldrich, Linker2aF",125,szt,0,0,0,0,,
126,O-K-Lb4,"Lb4, Starter, Sigma-Aldrich",126,szt,0,0,0,0,,
127,O-K-La2,"La2, Starter, Sigma-Aldrich",127,szt,0,0,0,0,,
128,O-K-La1,"La1, Starter, Sigma-Aldrich",128,szt,0,0,0,0,,
129,O-K-L8000-25G,"L-Leucine, Reagent Grade, 25G, Sigma-Aldrich, L8000",129,szt,0,1,0,1,1,
130,O-K-L5501-1G,"L-Lysine, 1G, Sigma-Aldrich, L5501-1G",130,szt,0,1,0,1,1,
131,O-K-I2752-5G,"L-Isoleucine, Reagent Grade, 5G, Sigma-Aldrich, I2752",131,szt,0,1,0,1,1,
132,O-K-Haz-nat-R,starter Haz-nat-R,132,szt,0,0,0,0,,
133,O-K-Haz-nat-F,starter Haz-nat-F,133,szt,0,0,0,0,,
134,O-K-HA1218894 3,starter Pfu-Neq-pET 15-R2,134,szt,0,0,0,0,,
135,O-K-HA1218894  2,starter Pfu-Neq-F2,135,szt,0,0,0,0,,
136,O-K-HA1218894 1,starter Pfu-Neq-R1,136,szt,0,0,0,0,,
137,O-K-HA1218894 0,starter Pfu-pET15-F1,137,szt,0,0,0,0,,
138,O-K-HA1198680 0,starter polPhusion Kam_SalHisR,138,szt,0,0,0,0,,
139,O-K-HA1198679 9,starter polPhusion Kam_F2,139,szt,0,0,0,0,,
140,O-K-HA1198679 8,Starter polPhusion Kam_Ndel_F,140,szt,0,0,0,0,,
141,O-K-HA1192230 0,starter NeqSSB-Sal-454R,141,szt,0,0,0,0,,
142,O-K-HA1192229 9,starter NeqSSB-Nde-454F,142,szt,0,0,0,0,,
143,O-K-HA1192229 8,starter Sso7d-Sal-R,143,szt,0,0,0,0,,
144,O-K-HA1192229 7,starter Sso7d-F2,144,szt,0,0,0,0,,
145,O-K-HA1192229 6,starter Sso7d-NdeI-F,145,szt,0,0,0,0,,
146,O-K-HA1192229 5,starter NeqSSB-Sal-R,146,szt,0,0,0,0,,
147,O-K-HA1192229 4,starter NeqSSB-Nde-F,147,szt,0,0,0,0,,
148,O-K-HA1192229 3,starter Pfu-Nde-Sal-R,148,szt,0,0,0,0,,
149,O-K-HA1192229 2,starter Pfu-Bsp-F,149,szt,0,0,0,0,,
150,O-K-HA0997858 2,pD1921seq-R starter,150,szt,0,0,0,0,,
151,O-K-HA0997858 1,pD1921seq-F starter,151,szt,0,0,0,0,,
152,O-K-HA0997858 0,GST-Sap-Sap-R starter,152,szt,0,0,0,0,,
153,O-K-HA0997857 9,GST-Sap-Sap-F starter,153,szt,0,0,0,0,,
154,O-K-H9003-100 G,"Hydroquinone, 100g, Sigma-Aldrich, H9003-100G",154,szt,1,0,0,1,1,
155,O-K-H8000-5G,"L-Histidine, Reagent Plus, 5G, Sigma-Aldrich, H8000",155,szt,0,1,0,1,1,
156,O-K-H2625-100 G,"Hemoglobin Bovine,100g, Sigma-Aldrich, H2625-100G",156,szt,0,0,0,0,2,
157,O-K-GST-Sap-FL,GST-Sap-FL,157,szt,0,0,0,0,,
158,O-K-GST-NcoF-SalR,Oligonukleotydy Nco-F Sal-R,158,szt,0,0,0,0,,
159,O-K-GPK003001,"Proteinase K, 1g",159,szt,0,0,0,0,,
160,O-K-GLICERYNA,"Gliceryna, 1 l",160,szt,0,0,0,0,0,
161,O-K-G8898,"Glycine, 500g, Sigma Aldrich, G8898",161,szt,0,1,1,0,0,
162,O-K-G5767-500 G,"D-(+)-glukoza, 500g, Sigma Aldrich, G5767-500G",162,szt,0,0,0,0,0,
163,O-K-G4376-100 G,"L-Glutation oxidized, 100g, Sigma-Aldrich, G4376-100G",163,szt,1,7,6,2,2,
164,O-K-Fwd_EM72_ Hyg2,starter Fwd_EM72_Hyg2,164,szt,0,0,0,0,,
165,O-K-Fwd_EM72_ Hyg1,starter Fwd_EM72_Hyg1,165,szt,0,0,0,0,,
166,O-K-F8263-1KG,"Iron (II) sulfate heptahydrate, 1 kg",166,szt,0,0,0,0,0,
167,O-K-F5881-10ML      ,"Freund’s Adjuvant Complete, 10ml, Sigma Aldrich, F5881",167,,0,1,1,0,,
168,O-K-F5506-10ML,"Freund's adjuvant incomplete, 10ml, Sigma Aldrich, F5506",168,szt,0,1,1,0,,
169,O-K-EZS/525,"EZTest Steam G. stearothermophilus, 1szt, Sterbios, EZS/525",169,szt,13,0,1,12,0,
170,O-K-ER1931,"LGUI (SAPI), 1szt, Thermo, ER1931",170,szt,0,0,0,0,,
171,O-K-EP0742,"Maxima Reverse Transcriptase, 10000U, Thermo Scientific, EP0742",171,szt,0,1,0,1,1,
172,O-K-EP0691,"Bsm DNA Polymerase, Large Fragment 1600U (8 U/µL), 200uL, Thermofisher, EP0691",172,szt,0,2,0,2,1,
173,O-K-EP0111,"T7 RNA Polymerase 5000U, 20U/ul, Thermoscientific, EP0111",173,szt,0,1,1,0,0,
174,O-K-EP0092,Phi29 DNA polymerase,174,szt,0,0,0,0,,
175,O-K-EO0381,RiboLock RNase Inhibitor 2500U,175,szt,0,0,0,0,2,
176,O-K-EK0031,T4 Polynucleotide kinase,176,szt,0,0,0,0,,
177,O-K-EC-R3,"Starter EC-R3, Sigma-Aldrich",177,szt,0,0,0,0,,
178,O-K-Ecoll-R1OO O,starter do polimerazy Phusion,178,szt,0,0,0,0,,
179,O-K-Ecoli-R2000,starter do polimerazy Phusion,179,szt,0,0,0,0,,
180,O-K-EC-F3,"Starter EC-F3, Sigma-Aldrich",180,szt,0,0,0,0,,
181,O-K-E2440-01,XhoI,181,szt,0,0,0,0,,
182,O-K-E2430-01,XbaI,182,szt,0,0,0,0,,
183,O-K-E2390-01,SmaI,183,szt,0,0,0,0,,
184,O-K-E2296-01,NotI,184,szt,0,0,0,0,,
185,O-K-E2293-01,NdeI,185,szt,0,0,0,0,,
186,O-K-E2292-01,NcoI,186,szt,0,0,0,0,,
187,O-K-E22064,"EnzCheck Reverse Transcriptase Assay Kit, 1000 assays, Invitrogen by Thermo Fischer, E22064",187,szt,0,1,1,0,0,
188,O-K-E2160-01,EcoRV,188,szt,0,0,0,0,,
189,O-K-E2150-01,EcoRI,189,szt,0,0,0,0,,
190,O-K-E2006,"Femto Bacterial DNA Quantification Kit, 100 Rxns, Zymoresearch, E2006",190,szt,0,1,0,1,,
191,O-K-E1014-5KU,"Benzonase nuclease, Recombinant, 1szt, Sigma-Aldrich, E1014-5KU",191,szt,0,0,0,0,0,
192,O-K-E1014-25KU,"Benzonase® Nuclease recombinant, 250 units/µL, Sigma-Aldrich, E1014-25KU",192,szt,0,1,1,0,0,
193,O-K-D4263-1VL,"Deoxyribonuclease I from bovine pancr, 1szt, Sigma-Aldrich, D4263-1VL",193,szt,1,0,0,1,0,
194,O-K-D4014,"Clean & Concentrator-5 (200preps), Zymo Research, D4014",194,szt,0,0,0,0,0,
195,O-K-D4013,"DNA Clean & Concentrator-5 (50preps), Zymo Research, D4013",195,szt,0,0,0,0,,
196,O-K-D3664-5X1 MG,"Deoxyribonucleic acid sodium from calf, Sigma-Aldrich, 1szt, D3664-5X1MG",196,szt,1,0,1,0,,
197,O-K-D1816,"Herring Sperm DNA 10mg/ml, 500mg, Promega, D1816",197,szt,0,3,2,1,,
198,O-K-D1815,"Herring Sperm DNA, 100mg, Promega, D1815",198,szt,1,2,3,0,,
199,O-K-D1811,"Herring Sperm DNA, 10 mg/ml",199,szt,0,0,0,0,,
200,O-K-CHMP11137 2607.100,"Amonu Chlorek CZDA, 1kg, Chempur, CHMP111372607.100",200,szt,0,0,0,0,0,
201,O-K-chloryn sodu 28%,Chloryn sodu 28 % 100 ml,201,szt,0,0,0,0,0,
202,O-K-C1389-250 G,"Carbenicillin disodium, 250mg, Sigma Aldrich, C1389-250G",202,szt,0,0,0,0,0,
203,O-K-C0158-1G,"L-Carnitine Inner salt, 1 G",203,szt,0,0,0,0,,
204,O-K-BIO-98020,"SensiFAST SYBR No-Rox mix, 2x",204,szt,0,1,0,1,,
205,O-K-BIO-39035,"dUTP, 100 mM, 1szt, Bioline, BIO-39035",205,szt,1,0,1,0,,
206,O-K-BIO-21046,"IMMOLASE DNA Polymerase, 250 units, BIOLINE, BIO-21046",206,szt,0,0,0,0,,
207,O-K-BAKR7048. 1000,Hydrogen Peroxide 35%,207,szt,0,0,0,0,0,
208,O-K-BA8760114,"Kwas octowy lodowaty, 99.9%, czda- basic, 1l, POCH, BA8760114",208,szt,3,0,1,2,0,
209,O-K-BA1500111,"2-propanol, 5l",209,szt,0,0,0,0,0,
210,O-K-B9000S,"BSA, Molecular Biology Grade, 12 mg",210,szt,0,0,0,0,,
211,O-K-B7535-100G,"BIS-TRIS, 100g, Sigma Aldrich, B7535",211,szt,0,1,1,0,1,
212,O-K-B6891-100M L,"BME VITAMINS,100x, solution, 1szt, Sigma-Aldrich, B6891-100ML",212,szt,0,0,0,0,0,
213,O-K-B6768-500G,"Kwas borowy, 500g, Sigma-Aldrich, B6768-500G",213,szt,1,0,1,0,0,
214,O-K-B4501-1G,Biotin,214,szt,0,0,0,0,,
215,O-K-B4252-250M G,"5-bromo-4-chloro-3-indyl ß-D-galactopyranoside, 250MG, Sigma-Aldrich, B4252",215,szt,0,1,0,1,,
216,O-K-B3876,"Bicine, 25g, Sigma-Aldrich, B3876",216,szt,0,2,0,2,2,
217,O-K-ARF-2 starter,"ARF-2 starter, batch:HA11232000",217,szt,0,0,0,0,,
218,O-K-ARF-1 starter,"ARF-1 starter, batch: HA11231999",218,szt,0,0,0,0,,
219,O-K-AOX_term_2,"Starter, AOX-term_2, Sigma-Aldrich",219,szt,0,0,0,0,,
220,O-K-ant-zn-5p,Zeocin (powder) 5g,220,szt,0,0,0,0,,
221,O-K-ant-hg-5,"Hyromycin B Gold, 5 mg",221,szt,1,0,1,0,,
222,O-K-AluRev starter,"AluRev Starter, Sigma-Aldrich",222,szt,0,0,0,0,,
223,O-K-AluFor starter,"AluFor Starter, Sigma-Aldrich",223,szt,0,0,0,0,,
224,O-K-ALB003.25,"Bovine albumin 25g, BioShop, ALB003.25",224,szt,1,0,1,0,0,
225,O-K-AB6721,Goat Anti-Rabbit IgG H&L (HRP),225,szt,0,0,0,0,,
226,O-K-ab65337-10 0,"Free Glycerol Assay Kit, 100 tests, abcam, ab65337-100",226,op,0,3,1,2,2,
227,O-K-AB100,"Alkaline Phosphatase Blue Microwell Substrate, 100 ml",227,szt,3,0,1,2,,
228,O-K-AB03-500,Agar bakteriologiczny LAB-AGAR 500g,228,szt,0,0,0,0,0,
229,"O-K-A9728,0100","L-Arabinose BioChemica, 100g",229,szt,0,0,0,0,0,
230,O-K-A9518-25G,"Ampicillin sodium salt, 25g, Sigma Aldrich, A9518-25G",230,szt,0,0,0,0,0,
231,O-K-A7377-5G,"D-Alanine, HPLC, 5G, Sigma-Aldrich, A7377",231,szt,0,1,0,1,1,
232,"O-K-A7249,1000","SDS grained pure, 1kg, Applichem, A7249,1000",232,szt,0,1,1,0,0,
233,"O-K-A7153,2500 RF","RNase-ExitusPlus, 2,5l, Apllichem, A7153,2500RF",233,szt,0,1,0,1,0,
234,"O-K-A7153,1000RF","RNase-ExitusPlus, 1L, Applichem,A7153,1000RF",234,szt,0,1,1,0,0,
235,"O-K-A7153,0500","RNase-ExitusPlus, 0,5kg, Applichem,A7153,0500",235,szt,0,1,1,0,0,
236,"O-K-A7089,1000 RF","DNA-ExitusPlus,1L, Applichem, A7089,1000RF",236,szt,0,1,1,0,0,
237,"O-K-A7089,0500","DNA-ExitusPlus, 500 ml",237,szt,1,0,1,0,0,
238,O-K-A6426-500g,"Antifoam 204, 500g",238,szt,0,7,2,5,5,
239,"O-K-A6285,0250","Zinc Chloride for molecular biology, 250g",239,szt,0,0,0,0,1,
240,"O-K-A6284,0100","Cetyltrimethylammonium Bromide (CTAB), 100g, Applichem, A6284,0100",240,szt,1,0,0,1,1,
241,O-K-A5633-100G,"Antifoam A Concentrate, 100g, Sigma Aldrich, A5633-100G",241,szt,1,0,1,0,0,
242,"O-K-A4975,1000","Triton X-100 for molecular biology, 1l, Applichem, A4975,1000",242,szt,0,6,2,4,5,
243,"O-K-A4975,0500","Triton X-100, 500ml, Applichem, A4975,0500",243,szt,2,1,2,1,1,
244,"O-K-A4975,0100",Triton X-100 for molecular biology 100 ml,244,szt,0,0,0,0,0,
245,O-K-A4971.0010,"Lysozyme for molecular biology, 10g, AppliChem, A4972.0010",245,szt,1,0,1,0,0,
246,"O-K-A4789,0100","Kanamycin Sulfate pure, 100g, Applichem, A4789,0100",246,szt,0,1,1,0,0,
247,"O-K-A4789,0025","Kanamycin Sulfate pure, pharma grade, 25g",247,szt,0,0,0,0,0,
248,"O-K-A4425,1000","Magnesium Chloride for molecular biology, 1 kg",248,szt,0,0,0,0,0,
249,O-K-A41002-08,"Złoże Ni-NTA Purose 6 Fast Flow, 1L, QianchunBio, A41002-08",249,szt,1,12,10,3,5,
250,O-K-A41002-07,"Złoże Ni-NTA Purpose 6 FF, 500ml, Jiaxing Qianchun Biotechnology Co, A41002-07",250,szt,1,1,2,0,0,
251,O-K-A39552S,"Pierce Endotoxin Quant 30rxn, Thermo, A39552S",251,szt,0,0,0,0,,
252,O-K-A39552,"Pierce Chromogenic Endotoxin Quant Kit, 60 tests, Thermo Scientific, A39552",252,szt,0,2,1,1,,
253,"O-K-A3950,1000","SDS-Solution 10% pure, 1L, Applichem, A3950,1000",253,szt                             ,0,1,0,1,1,
